number,liczby_nut,liczby_parti,dlugosci_utworow,metrum,liczby_uzytych_metrum,liczby_uzytych_tonacji,najwyzsze_dzwieki,najnizsze_dzwieki,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
583,427,4,272.0,4/2,1,1,79,48,0.8642282337863462,19,42
584,1103,6,512.0,4/2,1,1,79,48,0.9268920647621087,19,126
585,1233,5,712.0,4/2,1,1,79,46,0.9011212854888152,20,130
586,471,4,304.0,4/2,1,1,70,46,0.9119454549891274,15,42
587,1126,5,640.0,4/2,1,1,79,46,0.9121226498489042,20,105
588,1233,5,712.0,4/2,1,1,79,46,0.9011212854888152,20,130
589,471,4,304.0,4/2,1,1,70,46,0.9119454549891274,15,42
590,1126,5,640.0,4/2,1,1,79,46,0.9121226498489042,20,105
591,1363,5,720.0,4/2,1,1,79,48,0.8350956757385556,19,127
592,518,4,320.0,4/2,1,1,79,55,0.8451450634427365,15,51
593,438,4,288.0,4/2,1,1,72,48,0.9063762383141415,15,48
594,1054,5,560.0,4/2,1,1,77,48,0.8861148381625804,18,120
595,1084,4,784.0,4/2,1,1,77,48,0.8751792473471275,18,138
596,523,3,440.0,4/2,1,1,79,55,0.8796914951201164,15,57
597,1042,4,720.0,4/2,1,1,79,48,0.88606367912826,19,136
598,283,5,168.0,4/2,1,1,72,45,0.9050288637552198,17,35
599,233,5,136.0,4/2,1,1,69,45,0.8077423285943388,15,30
600,239,5,152.0,4/2,1,1,74,43,0.7780667896387611,19,36
601,256,5,168.0,4/2,1,1,69,41,0.8904499155297619,17,28
602,211,5,144.0,4/2,1,1,74,45,0.8436006542167327,18,37
603,368,5,216.0,4/2,1,1,74,45,0.8576343589387554,18,51
604,359,5,216.0,4/2,1,1,74,41,0.8939879624329311,20,47
605,245,5,144.0,4/2,1,1,74,43,0.8875990483441104,19,29
606,316,5,200.0,4/2,1,1,74,43,0.8591233659353356,19,38
607,330,5,192.0,4/2,1,1,74,45,0.9083341104261532,18,42
608,230,5,152.0,4/2,1,1,74,43,0.8491026065879365,19,33
609,257,4,192.0,4/2,1,1,65,43,0.8469428475258672,14,25
610,290,5,216.0,4/2,1,1,74,43,0.8857740533650229,19,31
611,221,5,144.0,4/2,1,1,74,45,0.7991042021752429,18,34
612,359,5,224.0,4/2,1,1,72,43,0.883323632628247,18,52
613,303,5,154.0,3/2,1,1,74,41,0.8989091306358173,20,48
614,273,5,168.0,4/2,1,1,74,43,0.867465428698866,19,35
615,293,5,192.0,4/2,1,1,74,43,0.8607723823437952,19,50
616,962,4,620.0,4/2,1,1,74,45,0.9290185824358314,18,98
617,351,4,248.0,4/2,1,1,72,45,0.9293315913292788,17,31
618,37,4,24.0,3/2,1,1,72,48,0.8554996788006406,15,0
619,1195,4,696.0,4/2,1,1,74,45,0.9420248900269703,18,116
620,57,4,36.0,3/2,1,1,72,48,0.8928945771338844,15,0
621,246,4,152.0,4/2,1,1,74,45,0.9414969792760698,18,20
622,1260,4,896.0,4/2,1,1,77,48,0.8591682117241309,18,141
623,506,3,408.0,4/2,1,1,72,48,0.9329355799474033,15,31
624,427,4,296.0,4/2,1,1,79,48,0.8737412482017548,19,50
625,150,4,96.0,3/2,1,1,77,48,0.8730547094464077,18,12
626,538,4,356.0,4/2,1,1,79,48,0.8906938708123805,19,50
627,1118,4,816.0,4/2,1,1,74,41,0.886130183915739,20,119
628,585,3,480.0,4/2,1,1,74,48,0.8659433725402922,16,36
629,721,4,504.0,4/2,1,1,76,41,0.9401720824581867,21,54
630,266,5,168.0,4/2,1,1,72,41,0.9068180552335339,19,37
631,205,5,128.0,4/2,1,1,70,41,0.8749809780698692,18,23
632,235,5,152.0,4/2,1,1,72,41,0.8756226929081802,19,32
633,215,5,160.0,4/2,1,1,74,41,0.892310788989099,20,14
634,202,4,160.0,4/2,1,1,72,41,0.8922409044767801,19,25
635,350,4,248.0,4/2,1,1,74,48,0.8980210173877954,16,34
636,394,5,256.0,4/2,1,1,72,41,0.9249892380535394,19,61
637,232,5,144.0,4/2,1,1,72,41,0.9025363918462548,19,33
638,274,5,192.0,4/2,1,1,72,41,0.8928552037772839,19,26
639,226,5,144.0,4/2,1,1,72,41,0.893433531281141,19,32
640,206,5,112.0,4/2,1,1,72,41,0.86450469693634,19,25
641,207,5,128.0,4/2,1,1,72,41,0.8862495823975582,19,26
642,298,5,168.0,4/2,1,1,74,41,0.8511716551915378,20,41
643,195,4,144.0,4/2,1,1,72,48,0.8821794342159599,15,20
644,321,5,192.0,4/2,1,1,69,48,0.8689581798723293,13,40
645,384,5,212.0,4/2,1,1,72,41,0.9226931319724061,19,57
646,249,5,160.0,4/2,1,1,72,41,0.9071383417728718,19,33
647,332,5,208.0,4/2,1,1,74,41,0.8938970955755798,20,39
648,831,4,568.0,4/2,1,1,79,50,0.8807215244964373,18,74
649,629,3,488.0,4/2,1,1,81,52,0.8889221167980264,18,40
650,749,4,496.0,4/2,1,1,77,48,0.8949966980208699,18,64
651,1402,6,696.0,4/2,1,1,79,48,0.919783079815056,19,229
652,687,4,420.0,4/2,1,1,79,53,0.9245950415429817,16,72
653,1397,6,672.0,4/2,1,1,79,48,0.9428398103864293,19,215
654,973,4,720.0,4/2,1,1,72,41,0.9190293034602486,19,126
655,508,3,424.0,4/2,1,1,72,48,0.9344544505760861,15,40
656,829,4,568.0,4/2,1,1,72,41,0.9390679517527865,19,90
657,1271,4,872.0,4/2,1,1,79,46,0.8775125753003491,20,137
658,528,3,432.0,4/2,1,1,79,48,0.9024573451035541,19,40
659,844,4,568.0,4/2,1,1,77,46,0.8929528614681155,19,90
660,1416,4,960.0,4/2,1,1,74,43,0.938648603996192,19,163
661,819,4,560.0,4/2,1,1,79,48,0.9171532341879456,19,80
662,524,3,416.0,4/2,1,1,79,53,0.9110148301126666,16,30
663,691,4,456.0,4/2,1,1,77,48,0.9208030559256462,18,62
664,1485,4,1016.0,4/2,1,1,74,43,0.9128869887957126,19,124
665,144,4,90.0,3/2,1,1,72,45,0.8994778830003253,17,28
666,254,4,176.0,4/2,1,1,72,43,0.9019384555017746,18,12
667,1446,4,936.0,4/2,1,1,74,43,0.8752381096439322,19,121
668,59,4,36.0,3/2,1,1,74,48,0.8689126242984568,16,2
669,115,4,112.0,4/2,1,1,74,43,0.8486905929996175,19,4
670,1396,8,632.0,4/2,1,1,74,41,0.9421580664279747,20,349
671,153,4,120.0,4/2,1,1,65,43,0.8130846452994017,14,22
672,85,4,48.0,3/2,1,1,65,43,0.8987620726804239,14,13
673,413,4,264.0,4/2,1,1,67,41,0.8560129379769337,16,33
674,585,4,376.0,4/2,1,1,74,41,0.9442489204392983,20,55
675,893,8,344.0,4/2,1,1,74,41,0.914669844640812,20,172
676,1271,5,824.0,4/2,1,1,79,46,0.9065313984680866,20,149
677,199,4,152.0,4/2,1,1,79,48,0.8889935861334358,19,33
678,40,4,24.0,3/2,1,1,65,48,0.8643991134730276,11,16
679,447,4,304.0,4/2,1,1,79,48,0.930174673075972,19,62
680,502,5,288.0,3/2,1,1,77,48,0.8464355653710605,18,81
681,307,5,176.0,4/2,1,1,79,48,0.9225895560118698,19,16
682,1854,4,1248.0,4/2,1,1,74,41,0.9283162839023875,20,176
