number,liczby_nut,dokladnosci_tonacji,rozstawy_dzwiekow,pauzy
116,182,0.9099729305129441,13,0
117,122,0.9243730264314686,13,0
118,84,0.8791195319974565,11,0
119,92,0.9063215531317551,13,0
120,115,0.9544615161059806,10,0
121,131,0.8296276749012285,12,0
122,134,0.802474254984747,14,0
123,120,0.795263399195971,13,0
124,119,0.9219051009043698,20,0
125,115,0.9358716525219576,13,0
126,113,0.8875769412725167,16,7
127,84,0.7577263650399848,8,0
128,123,0.774809457316606,13,0
129,88,0.9535339570823099,10,0
130,117,0.9224075950289595,12,0
131,104,0.8499696839019447,11,15
132,78,0.8417373373868051,9,0
133,97,0.8503594068878778,15,0
134,95,0.9506699528313403,14,0
135,122,0.894082304048085,13,0
136,116,0.8857918609637527,13,0
137,66,0.8483907408384741,12,0
138,139,0.9745798880077606,13,0
139,105,0.8698285661954374,11,2
140,113,0.9096749500247406,12,0
141,131,0.8751626062737926,13,3
142,121,0.8065683458767464,12,2
143,132,0.9825556154978864,13,0
144,113,0.8235778531270461,10,0
145,93,0.9625875915314691,13,2
146,134,0.5341232816833406,14,29
147,169,0.6575494996904914,15,12
148,115,0.8619770648399615,17,3
149,94,0.8741125699355359,13,0
150,116,0.7649288365599696,13,0
151,116,0.8764801920706199,9,0
152,116,0.8645505196725572,12,0
153,94,0.6820218463037233,13,0
154,179,0.9387530790678884,18,0
155,115,0.9578882041388154,9,0
156,82,0.8448901255801765,13,2
157,97,0.8930567627105407,13,0
158,96,0.7780312040899959,9,0
159,96,0.8763817718494101,13,1
160,111,0.9830668860281571,14,0
161,124,0.8877033902454359,11,0
162,141,0.9438780032471046,13,0
163,110,0.8947030402960501,12,0
164,115,0.8702304985572478,16,0
165,119,0.7705683104998818,13,0
166,120,0.8593289968018003,16,0
167,126,0.8559665301667875,13,0
168,144,0.9185362139620584,13,0
169,238,0.8806972130833046,13,0
170,111,0.982442907364173,15,0
171,131,0.929106451816177,14,0
172,122,0.9500851554669938,13,1
173,145,0.9307950919855673,11,0
174,125,0.9234304430260144,13,3
175,122,0.8770534848591701,15,2
176,115,0.7438050107435324,11,2
177,97,0.9097961995896158,17,0
178,125,0.9080885592726298,11,1
179,65,0.916317312986652,8,0
180,125,0.9391190998873132,13,0
181,114,0.9533711668071452,11,0
182,105,0.8784264579264145,15,0
183,114,0.8955675326392022,14,2
184,122,0.901153707481464,11,0
185,97,0.8389613884661513,13,0
186,113,0.7782008144899372,13,0
187,68,0.9063314614283586,9,0
188,91,0.9039969302991238,12,0
189,110,0.8819957160224461,13,0
190,155,0.9411710047699727,16,0
191,95,0.8740911469527002,11,0
192,92,0.8856362756994353,12,0
193,122,0.9560949163723124,11,0
194,114,0.8127197844462177,9,0
195,122,0.9645567399753053,10,0
196,120,0.877687766998633,14,0
197,120,0.8758791346833351,11,0
198,111,0.9315277940497263,12,0
199,126,0.8559665301667875,13,0
200,129,0.8126628584478977,13,0
201,131,0.8675141177566088,15,0
202,121,0.9302603834788314,15,0
203,87,0.7731841157234274,15,1
204,124,0.8409136477799352,13,0
205,87,0.9149618537846396,11,0
206,128,0.8721757118420146,11,10
207,91,0.696446732443682,11,4
208,130,0.8828162719927122,12,2
209,117,0.8899494399499865,11,0
210,105,0.9053129007823622,13,0
211,124,0.7857953195338933,10,0
212,116,0.9553385396068024,11,0
213,112,0.9347857337873652,16,0
